Site,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
E 18,Eros,,Toiwo,27.01.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 18,90,3,66.9972,E 15,E,5; 6; 12,,within shouting distance,,>300m,unfavourable,2,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
E 19,Eros,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 19,153,3,69.0513,E 18,E,4; 5; 10; 12,,within shouting distance,True,adjacent,spacious,48,<15m,marginal,magnificent,Fireplace,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
E 20,Eros,�Lynn�,Lynn�s shelter(?),,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 20,77,3,67.4528,E 21,W,4; 5; 10; 12,,>300m,True,adjacent,spacious,15,<15m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
E 21,Eros,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 21,16,5,67.4528,E 20,E,1; 12,,>300m,True,adjacent,� vertical rock,4,<15m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
E 22,Eros,,Shipahu,07.02.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 22,13,5,302.8793,E 23,S,5; 6; 10,,>300m,,>300m,spacious,8,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
E 23,Eros,,Shipahu,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 23,4,6,171.7609,E 1,E,1,,>300m,True,adjacent,� vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
F 1,Furrow,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,F 1,44,4,34.1973,H 124,SE,5,,>300m,,>300m,unfavourable,9,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 1,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 1,385,2,193.8369,G 7,S,5; 6; 8; 10; 11,True,within shouting distance,True,adjacent,spacious,20,<3m,marginal,magnificent,Fireplace and Pager's Camp,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
G 2,Ga'aseb,,,11.11.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 2,3,6,78.1518,G 3,S,5,,>300m,,>300m,spacious,12,<15m,marginal,magnificent,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 3,Ga'aseb,,,10.11.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 3,65,3,78.1518,G 2,W,5; 6,,<300m,,>300m,unfavourable,6,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
G 4,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 4,26,4,93143,G 5,N; E,1; 12,True,adjacent,,>300m,� vertical rock,5,<15m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 5,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 5,66,3,48.5253,G 6,S; W,4; 5; 8,,adjacent,,NA,unfavourable,5,<15m,central,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 6,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 6,13,5,45929,G 7,S,1,True,adjacent,,>300m,� vertical rock,4,>15m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 7,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 7,255,2,45929,G 6,E; S,1; 4; 5; 8; 12,True,adjacent,,>300m,unfavourable; � vertical rock,14,>15m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
G 8,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 8,43,4,260.6887,G 2,W,5; 6,,>300m,,>300m,spacious,25,<15m,isolated,magnificent,Pager's Camp,none,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 9,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 9,61,3,244.2945,G 1,E,4; 6; 10,,<300m,,<300m,spacious,17,<3m,marginal,magnificent,Pager's Camp,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 10,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 10,3,6,174.9685,G 11,S,5,,adjacent,,>300m,unfavourable,3,<3m,marginal,magnificent,none,disintegration of rock; water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 11,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 11,145,3,174.9685,G 10,S,1; 5; 6; 7; 8; 9; 12,,<300m,,>300m,unfavourable,19,<3m,central,magnificent,Pager's Camp,water run-off; vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,
G 12,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 12,495,1,109.1504,G 13,E; S; W,1; 2; 4; 5; 6; 12,,>300m,True,adjacent,unfavourable,15,>15m,marginal,magnificent,Fireplace,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
G 13,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 13,69,3,109.1504,G 12,S,5; 6; 8; 11,,>300m,,within shouting distance,spacious,6,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 14,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 14,2,6,317.2452,G 17,SE,5,,within shouting distance,,>300m,unfavourable,6,<3m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 15,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 15,20,4,130.4138,G 16,W,5; 6; 12,,>300m,,>300m,unfavourable,4,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 16,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 16,102,3,130.4138,G 15,N,1; 4; 5; 6,,>300m,,>300m,unfavourable; � vertical rock,2,<15m,central,magnificent,Fireplace,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
G 17,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 17,4,6,55984,G 18,SW,5,,>300m,,>300m,unfavourable,11,<3m,marginal,magnificent,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 18,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 18,3,6,55984,G 17,S,5,,>300m,,>300m,unfavourable,3,<3m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 19,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 19,41,4,198.8862,G 18,S,5; 6; 11,True,adjacent,,>300m,spacious,12,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
G 20,Ga'aseb,,Keyenst�ber,05.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 20,49,4,300.0099,G 19,N; S,1; 5; 8,,<300m,,>300m,unfavourable; � vertical rock,4,<15m,marginal,magnificent,Pager's Camp,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
G 21,Ga'aseb,,J. Toiwo,02.03.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 21,1,6,313.4043,G 22,S,1,,>300m,,>300m,� vertical rock,2,<3m,isolated,magnificent,none,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,undiscovered by TLE
G 22,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 22,1,6,313.4043,G 21,SE,11,,>300m,,>300m,unfavourable,10,<1m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
G 23,Ga'aseb,,A. Viereck,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 23,9,5,1129.8602,E 8,SW,5; 6,,NA,True,adjacent,unfavourable,5,<15m,isolated,rather nice,none,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
G 24,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 24,16,5,254.4992,G 30,E,1,,<300m,True,adjacent,� vertical rock,1,<15m,isolated,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
G 25,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 25,4,6,36.0989,G 26,E,4; 5,,>300m,,<300m,unfavourable,4,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 26,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 26,3,6,36.0989,G 25,E; W,1; 5; 12,True,adjacent,,>300m,� vertical rock,2,<15m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 27,Ga'aseb,,H. Roth,03.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 27,5,5,64.1269,G 28,S,5,,>300m,True,within shouting distance,spacious,10,<3m,marginal,rather nice,Fireplace,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
G 28,Ga'aseb,,H. Roth,03.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 28,40,4,64.1269,G 27,S,1,,>300m,True,adjacent,� vertical rock,15,<15m,marginal,rather nice,Fireplace,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
G 29,Ga'aseb,,Toiwo/ Lameka,20.03.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 29,6,5,133.4118,H 1,N,5,,>300m,True,within shouting distance,unfavourable,4,<3m,isolated,magnificent,none,water run-off; vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
G 30,Ga'aseb,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,G 30,2,6,254.4992,G 24,W,1,,>300m,True,adjacent,� vertical rock,1,<15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 1,Hungorob,,Toiwo & Shipahu,14.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 1,31,4,84.2242,H 2,NE,5; 8; 12,,>300m,True,within shouting distance,unfavourable,5,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 2,Hungorob,,Toiwo & Shipahu,16.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 2,7,5,84.2242,H 1,NE,1,,>300m,True,adjacent,� vertical rock,1,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 3,Hungorob,,Clauss- Darrer?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 3,234,2,87.9949,H 12,N; S,1; 3; 4; 5; 8; 12,,<300m,True,adjacent,unfavourable; � vertical rock,32,>15m,central,rather nice,Fireplace and Pager's Camp,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
H 4,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 4,21,4,99.0577,H 5,NE,1,,>300m,True,within shouting distance,� vertical rock,6,>15m,isolated,poor,Pager's Camp,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 5,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 5,17,5,99.0577,H 4,E,5,,>300m,True,adjacent,spacious,5,<3m,isolated,poor,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 6,Hungorob,,Toiwo & Shipahu,22.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 6,10,5,434.1117,H 4,W,4; 5,,>300m,True,within shouting distance,unfavourable,8,<15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 7,Hungorob,,Clauss- Darrer,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 7,14,5,125.0909,H 8,NE,5,,<300m,,<300m,unfavourable,8,<3m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 8,Hungorob,,Toiwo & Shipahu,23.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 8,15,5,125.0909,H 7,NE,4; 5; 12,,<300m,True,adjacent,unfavourable,9,<15m,marginal,rather nice,Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 9,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 9,101,3,156.93,H 8,E,4; 5; 8,True,within shouting distance,True,adjacent,unfavourable,6,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 10,Hungorob,,Kleyenst�ber,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 10,4,6,138.1098,H 11,S,5; 11,,within shouting distance,,within shouting distance,spacious,8,<1m,marginal,rather nice,European; Pager's Camp,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 11,Hungorob,,Toiwo & Shipahu,24.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 11,16,5,138.1098,H 10,SE; W,5; 6; 12,,<300m,,<300m,unfavourable,11,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 12,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 12,5,5,83.8939,H 13,S,1,,<300m,True,adjacent,� vertical rock,2,<3m,marginal,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 13,Hungorob,,Clauss-Darrer,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 13,46,4,83.8939,H 12,SW,5,,<300m,True,within shouting distance,unfavourable,10,<15m,marginal,rather nice,Fireplace,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 14,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 14,11,5,271.2275,H 11,SE,5; 6; 9,,<300m,True,adjacent,spacious,10,<3m,marginal,rather nice,none,none,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 15,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 15,44,4,376941,H 16,E; SE,3; 4; 5; 12,,within shouting distance,True,within shouting distance,unfavourable,10,<3m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 16,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 16,29,4,38852,H 17,N,5; 6,,>300m,,<300m,unfavourable,3,<3m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 17,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 17,8,5,38852,H 16,NE,6,,adjacent,,<300m,� vertical rock,2,<3m,central,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 18,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 18,15,5,48.6817,H 19,SE,1,,within shouting distance,,within shouting distance,� vertical rock,0,<3m,marginal,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 19,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 19,10,5,48.6817,H 18,E; S,1; 5; 10; 12,,>300m,True,within shouting distance,unfavourable,2,<15m,marginal,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 20,Hungorob,�Main Rock�,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 20,40,4,49.6231,H 19,SE,1; 5; 12,,<300m,,NA,unfavourable,5,NA,marginal,rather nice,none,water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
H 21,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 21,3,6,397.2453,H 20,NE,1,,<300m,True,adjacent,� vertical rock,10,<15m,isolated,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 22,Hungorob,,Toiwo & Shipahu,29.08.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 22,14,5,407.9923,H 21,NE,4,True,adjacent,True,within shouting distance,unfavourable,4,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 23,Hungorob,,Toiwo,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 23,16,5,62.1548,H 24,W,1; 12,,adjacent,True,adjacent,� vertical rock,6,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 24,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 24,53,4,62.1548,H 23,SW,1; 5; 12,,>300m,,within shouting distance,unfavourable,11,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 25,Hungorob,,Shipahu,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 25,9,5,111.0948,H 23,S,5; 8,,>300m,True,adjacent,unfavourable,5,<3m,marginal,magnificent,none,disintegration of rock; water run-off; vegetation impact,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 26,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 26,13,5,124.6638,H 25,W,1,,>300m,True,within shouting distance,� vertical rock,4,<1m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 27,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 27,9,5,138408,H 26,NE,1,,>300m,True,adjacent,� vertical rock,0,<15m,marginal,rather nice,European; Fireplace,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 28,Hungorob,�Falls Rock Shelter�,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 28,353,2,194.1145,H 33,SW,5; 6,True,adjacent,,>300m,spacious,40,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 29,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 29,46,4,93.2081,H 30,W,1,,>300m,True,adjacent,� vertical rock,0,<3m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 30,Hungorob,,Toiwo & Shipahu,01.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 30,31,4,93.2081,H 29,S,4; 5; 10,,>300m,,>300m,unfavourable,8,<15m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 31,Hungorob,,Walter (Recorder),1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 31,53,4,343.1312,H 32,NA,5,,>300m,,<300m,unfavourable,3,<3m,isolated,rather nice,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site not visited/recorded by TLE
